지역,연도,배출량,면적,면적당_배출량
서울특별시,2010,30093.59,605.0,49.741471074380165
서울특별시,2010,29873.19,605.0,49.377173553719004
서울특별시,2010,29042.91,605.0,48.004809917355374
서울특별시,2010,29032.49,605.0,47.98758677685951
서울특별시,2010,3501.12,605.0,5.7869752066115705
서울특별시,2010,821.88,605.0,1.3584793388429752
서울특별시,2010,13009.5,605.0,21.503305785123967
서울특별시,2010,11281.5,605.0,18.64710743801653
서울특별시,2010,418.5,605.0,0.6917355371900826
서울특별시,2010,10.42,605.0,0.01722314049586777
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,10.42,605.0,0.01722314049586777
서울특별시,2010,747.59,605.0,1.2356859504132232
서울특별시,2010,157.48,605.0,0.260297520661157
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,7.66,605.0,0.012661157024793389
서울특별시,2010,84.51,605.0,0.13968595041322315
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,497.94,605.0,0.8230413223140496
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,-220.4,605.0,-0.36429752066115706
서울특별시,2010,-231.99,605.0,-0.3834545454545455
서울특별시,2010,10.98,605.0,0.018148760330578512
서울특별시,2010,-0.0,605.0,-0.0
서울특별시,2010,0.61,605.0,0.0010082644628099174
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,0.0,605.0,0.0
서울특별시,2010,303.09,605.0,0.5009752066115702
서울특별시,2010,-118.84,605.0,-0.1964297520661157
서울특별시,2010,3.38,605.0,0.005586776859504132
서울특별시,2010,58.19,605.0,0.09618181818181817
서울특별시,2010,360.36,605.0,0.5956363636363636
서울특별시,2010,0.0,605.0,0.0
부산광역시,2010,16112.17,771.0,20.89775616083009
부산광역시,2010,15796.3,771.0,20.488067444876783
부산광역시,2010,14834.25,771.0,19.240272373540854
부산광역시,2010,14831.66,771.0,19.236913099870296
부산광역시,2010,3672.3,771.0,4.763035019455253
부산광역시,2010,1466.01,771.0,1.9014396887159533
부산광역시,2010,6109.49,771.0,7.924111543450064
부산광역시,2010,3559.69,771.0,4.616977950713359
부산광역시,2010,24.17,771.0,0.03134889753566797
부산광역시,2010,2.59,771.0,0.003359273670557717
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,2.59,771.0,0.003359273670557717
부산광역시,2010,242.6,771.0,0.3146562905317769
부산광역시,2010,0.02,771.0,2.5940337224383918e-05
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,28.01,771.0,0.036329442282749674
부산광역시,2010,7.15,771.0,0.00927367055771725
부산광역시,2010,0.8,771.0,0.0010376134889753567
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,206.61,771.0,0.2679766536964981
부산광역시,2010,72.43,771.0,0.09394293125810636
부산광역시,2010,6.45,771.0,0.008365758754863813
부산광역시,2010,6.57,771.0,0.008521400778210116
부산광역시,2010,52.05,771.0,0.06750972762645914
부산광역시,2010,6.83,771.0,0.008858625162127107
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,0.02,771.0,2.5940337224383918e-05
부산광역시,2010,0.01,771.0,1.2970168612191959e-05
부산광역시,2010,0.51,771.0,0.0006614785992217899
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,-315.87,771.0,-0.4096887159533074
부산광역시,2010,-332.25,771.0,-0.43093385214007784
부산광역시,2010,15.4,771.0,0.019974059662775618
부산광역시,2010,-0.56,771.0,-0.0007263294422827498
부산광역시,2010,1.53,771.0,0.0019844357976653696
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,962.88,771.0,1.2488715953307392
부산광역시,2010,647.62,771.0,0.8399740596627756
부산광역시,2010,0.0,771.0,0.0
부산광역시,2010,176.07,771.0,0.2283657587548638
부산광역시,2010,139.2,771.0,0.18054474708171206
부산광역시,2010,0.0,771.0,0.0
대구광역시,2010,9943.23,885.0,11.235288135593219
대구광역시,2010,8371.69,885.0,9.459536723163842
대구광역시,2010,9395.41,885.0,10.616282485875706
대구광역시,2010,9393.57,885.0,10.614203389830507
대구광역시,2010,1304.26,885.0,1.4737401129943504
대구광역시,2010,994.25,885.0,1.1234463276836157
대구광역시,2010,4262.14,885.0,4.815977401129944
대구광역시,2010,2570.87,885.0,2.9049378531073446
대구광역시,2010,262.05,885.0,0.29610169491525423
